neighborhood,black_18,black_under_18,county,hispanic_18,hispanic_under_18,other_18,other_under_18,population_black_total,population_hisp_total,population_other_total,population_total,population_under_18,population_under_3,population_under_5,population_white_total,poverty_under_5,state,white_18,white_under_18,children_in_poverty_ratio,homeownership_ratio,median_family_income_ratio,no_hs_degree_18_24_ratio,no_hs_degree_25_plus_ratio,single_mother_families_perc_ratio,total_neighborhood_poverty_ratio,work_ratio,youth_ready_to_work_ratio,black_18_margin,black_under_18_margin,children_in_poverty_denom_margin,children_in_poverty_numer_margin,hispanic_18_margin,hispanic_under_18_margin,homeownership_denom_margin,homeownership_numer_margin,median_family_income_denom_margin,median_family_income_numer_margin,no_hs_degree_18_24_denom_margin,no_hs_degree_18_24_numer_margin,no_hs_degree_25_plus_denom_margin,no_hs_degree_25_plus_numer_margin,other_18_margin,other_under_18_margin,population_black_total_margin,population_hisp_total_margin,population_other_total_margin,population_total_margin,population_under_18_margin,population_under_3_margin,population_under_5_margin,population_white_total_margin,poverty_under_5_margin,single_mother_families_perc_denom_margin,single_mother_families_perc_numer_margin,total_neighborhood_poverty_denom_margin,total_neighborhood_poverty_numer_margin,white_18_margin,white_under_18_margin,work_denom_margin,work_numer_margin,youth_ready_to_work_denom_margin,youth_ready_to_work_numer_margin
1,1764.246,87.757,4.973,2072.414,275.731,141.38,141.38,1820.003,2348.145,1788.577,18421.154,1278.223,333.461,621.057,12464.429,0.0,54.703,11691.074,773.355,0.0545743930431,0.368522830622,148576.683783,0.00277834093356,0.0391577240897,0.0492808867773,0.073479875665,0.0622145288358,0.963107373683,1010.54315486,100.981764973,282.267316064,129.764971052,1527.61361659,179.069983495,312.922951029,353.560136924,2.22412432206,0.0,265.222395263,57.9100818856,865.287085221,217.296724713,1319.33507859,1319.33507859,328.860738484,509.204538864,346.554628975,786.598708395,263.867015718,117.766667105,147.30563012,730.650431619,41.408428514,253.17379821,59.294749717,785.592213689,353.560472457,2191.95129486,199.606072766,686.458406525,223.297567766,241.678596665,238.385284961
2,14615.254,2841.856,10.716,10038.916,3058.338,420.744,420.744,16697.687,13097.254,3092.521,49356.649,7225.913,1679.54,3036.334,16469.187,707.614,117.876,15564.212,904.975,0.224092948965,0.326784843561,74554.2049527,0.167592365218,0.178623589181,0.451454645765,0.143221227599,0.0957561884065,0.878621132799,3420.19033749,412.201858925,674.362212748,350.910755863,4077.45571133,482.17256606,423.777915693,436.965141858,3.21299019606,0.0,725.370469726,358.381360006,1268.36376044,615.229387658,3884.604323,3884.604323,1096.88378144,1359.15190378,538.320840672,1775.79827621,776.920864599,335.789120463,437.207369963,908.283306698,237.9323813,702.876536604,547.832634831,1744.6445215,834.616923525,2724.84992009,223.298304711,1155.43370819,399.980560924,609.736630164,551.939208067
3,5372.003,462.036,2.799,1023.052,274.876,45.038,45.038,5527.686,1297.928,885.176,13155.564,1057.292,352.248,515.811,5444.774,133.746,30.789,5169.432,275.342,0.313457634451,0.460510017207,123589.528829,0.0164555283281,0.0996782430971,0.323814761439,0.179492640696,0.0576670774179,0.837439652753,1733.50725414,135.158829645,198.474607522,124.705841571,1212.24328277,114.494564321,148.99438473,238.701134369,1.42127372452,0.0,418.181264686,50.8156722282,646.392262953,199.949508584,965.239554139,965.239554139,551.700361771,404.081094258,250.167202215,699.586998042,193.047910828,98.0350249962,117.937648675,516.583289946,77.3973940324,178.258096517,164.601500971,603.139307144,439.09750445,1549.74986984,99.7663693987,494.721743392,144.255275616,300.322843229,277.514493933
4,637.0,23.0,4.0,954.0,197.0,207.0,207.0,615.0,1151.0,1836.0,19683.0,2175.0,759.0,1048.0,16081.0,0.0,44.0,14333.0,1748.0,0.0149602618046,0.582996557402,210053.140389,0.00924321201618,0.0192743764172,0.127162225339,0.121385724877,0.0397425764932,0.931283905967,555.980215475,78.7527777288,362.758873082,94.8050631559,1017.55736939,118.671816368,279.80350248,378.584204636,2.0,0.0,840.890599305,81.9267965931,712.092690596,166.282891483,1815.08952947,1815.08952947,178.300308469,339.185789797,381.799685699,1137.84621105,363.017905894,198.353220291,222.481459902,1064.76804986,37.9736750921,359.886093091,151.614643092,909.704897206,530.860622009,3194.30414958,322.628269065,718.393346294,136.758911958,428.177533273,415.457579062
5,1334.555,11.0,2.587,1335.477,12.327,51.0,51.0,1284.555,1347.804,2664.612,16448.427,307.209,132.658,159.289,11151.456,0.0,28.457,10918.574,232.882,0.18082295653,0.278932110533,186865.578275,0.00154986813062,0.029781943532,0.23246545332,0.234113908188,0.0397081603642,0.883636885139,945.871462372,74.1123709511,168.921537549,115.45335766,1130.12116881,75.4738280995,358.073932081,274.821388962,1.53119855016,0.0,1042.73687844,52.2231215746,595.169161519,166.618107032,654.617567745,654.617567745,311.144807897,376.707056271,459.246336483,1191.52786628,130.923513549,80.1744947037,87.9065841504,999.179894914,36.8125098574,128.024701507,78.3297734007,630.327048191,447.507327426,2997.53968474,132.020200685,550.686201116,142.110560741,381.899618515,352.163975093
6,1636.358,124.043,5.539,1362.289,194.792,106.912,106.912,1709.625,1557.081,2610.288,20130.376,963.715,401.761,554.839,14253.382,13.56,60.929,13715.414,537.968,0.089734571375,0.325462562442,154113.388394,0.00642485160226,0.026427614059,0.146328896522,0.100001375287,0.0423276088319,0.953913561898,1018.45565602,98.6343166804,236.848881169,119.083657758,907.372111774,129.737875422,303.104760571,342.643118511,2.15348995818,0.0,343.795008165,50.2989526631,785.772605924,177.095756671,934.04323488,934.04323488,337.894669033,302.457370591,389.933182111,759.65627089,186.808646976,144.861265806,155.434417344,712.582677004,45.8704587071,179.908937791,111.526471158,751.44940322,325.785347933,2137.74803101,166.25901747,686.081683831,167.059945989,294.823254376,292.17621524
7,4108.553,714.555,5.378,1958.489,306.688,280.474,280.474,4805.642,2265.177,1896.86,17912.646,1460.657,370.648,531.792,8944.967,49.157,59.158,8786.027,158.94,0.186632359059,0.339086972245,123712.599704,0.122623524469,0.103588561659,0.299221968664,0.130280613249,0.039832356499,0.801950830849,1362.22923511,163.641153235,261.659852413,148.481851436,1401.97981118,152.111216227,274.16321974,313.682974098,2.10019570517,0.0,285.259372021,111.594598924,816.947814104,304.747040288,1210.20025281,1210.20025281,453.713637,467.326603728,303.306002819,733.953356549,242.040050562,112.481733953,140.594296037,549.42115734,70.1233498059,240.982184088,109.565250933,729.357446305,449.585213961,1648.26347202,99.47389355,597.555356232,141.491505848,269.832571663,235.722500536
8,4810.567,1332.729,5.96,1580.699,190.752,168.276,168.276,6073.538,1771.451,2151.342,17690.608,1824.479,395.724,701.838,7694.277,215.843,65.56,7561.555,132.722,0.285596397173,0.260608790543,131242.344791,0.101020534742,0.133080861687,0.589360976777,0.185352097612,0.0328073837403,0.865603637388,1804.39528216,266.703474488,354.0804766,243.610359677,968.907926852,115.193646465,258.803746005,228.04971506,2.24958529512,0.0,314.223541305,126.119798418,660.979251155,279.181624195,1571.1150328,1571.1150328,600.571592871,322.969308951,337.8561954,749.928579325,314.223006561,162.433103501,200.994025429,422.115617841,138.38110436,320.983278705,275.729003371,711.101310828,499.559487669,1266.34685352,96.4307029218,484.860588311,105.272721286,260.760027332,243.405815343
9,4570.0,894.0,4.0,699.0,28.0,77.0,77.0,5370.0,727.0,1066.0,11782.0,1066.0,268.0,303.0,4619.0,85.0,44.0,4552.0,67.0,0.393767705382,0.41608040201,98679.9413989,0.0873087308731,0.0659031754295,0.585585585586,0.144459667751,0.069960647136,0.862111801242,1701.93625027,204.046563313,258.690935288,153.362316101,672.923472618,77.5241897733,272.448160207,335.159663444,2.0,0.0,267.179714799,75.7627876995,632.60335124,178.440466263,980.586559157,980.586559157,564.541406807,224.307824206,280.631430884,678.140840829,196.117311831,102.932016399,109.722376934,527.440043986,70.6116137756,176.768209812,169.570044524,669.372093831,386.038858148,1582.32013196,85.1704173995,576.158832268,153.886321679,240.41838532,230.388801811
10,1459.844,325.704,3.542,638.95,187.474,329.91,329.91,1772.548,826.424,934.738,14771.906,3303.904,619.994,955.072,11238.196,40.0,38.962,8777.38,2460.816,0.0175549894912,0.735708979912,206721.263898,0.0604885810608,0.035299685826,0.0638808394963,0.0624148959447,0.0495698195045,0.928886183998,1611.99228704,165.078637007,349.917571402,98.7097978521,965.290220607,106.713187901,194.690014125,270.508947808,1.81487299831,0.0,185.930375636,54.5022064874,474.054449472,190.91431302,1418.4333211,1418.4333211,535.816524721,321.763406869,214.587783184,670.02355369,283.68666422,162.770245745,193.031350345,529.586424056,59.1743528228,281.702189299,98.1858759904,656.152253213,276.895979342,1588.75927217,289.159703264,492.346601231,123.600289142,171.920764517,170.52800034
11,335.004,54.068,1.793,531.581,229.027,515.021,515.021,389.072,760.608,1354.623,11713.635,2442.714,458.953,798.82,9209.332,0.0,19.723,7564.734,1644.598,0.0074451047609,0.733351492834,180260.459875,0.0102574109224,0.0179678880943,0.126503940499,0.0547843293594,0.0388997503938,0.937893422782,355.524266729,64.9405917666,319.88117748,65.8285030059,721.28240357,124.559391962,121.622987515,278.971078721,1.14296150416,0.0,262.804590047,34.2334314377,440.483504756,96.8733966629,1076.75170936,1076.75170936,118.50808891,240.427467857,312.564138175,435.183470979,215.350341871,162.335152142,191.865548408,504.658236013,25.8114696986,214.412615636,131.713124452,403.466496994,216.727789183,1513.97470804,230.478489612,309.892351819,97.3887354523,162.72325355,159.977994927
12,743.506,12.228,2.355,887.273,152.498,239.682,239.682,736.224,1039.771,1210.807,12278.39,1304.195,258.459,471.763,9291.588,14.391,25.905,8391.801,899.787,0.031036862181,0.383785399576,172372.252688,0.0576200102531,0.0156691704378,0.0886792590131,0.083262197794,0.0368974655431,0.937666065523,635.535604779,48.656350901,230.093475436,73.571396208,825.096500783,96.4427591891,217.624369217,229.606502806,1.32183773588,0.0,271.760132884,94.9122976647,544.443672325,95.1859906446,1083.22707778,1083.22707778,216.276739827,275.032166928,290.803139366,581.867767833,216.645415555,80.4695624879,122.896877149,548.775914143,32.074508414,203.316319397,66.1834459287,574.715172755,279.930406482,1646.32774243,185.17839057,474.112844241,109.427708278,249.166086741,239.145566727
13,905.71,115.2,3.455,1209.175,247.005,275.57,275.57,975.175,1456.18,1128.825,15312.235,2361.41,383.11,622.23,11752.055,0.0,38.005,10028.42,1723.635,0.00912289650343,0.744772022452,230648.965967,0.0234917926515,0.0205191272609,0.070090625151,0.109015699012,0.0400296842739,0.81689039932,987.773863607,95.0323713268,265.777988601,88.0270831903,1070.24292948,101.737641018,163.559538089,238.74363557,1.79081685272,0.0,630.494178443,86.5552024722,416.43098879,123.384622117,1331.20812141,1331.20812141,324.193499164,356.74764316,268.77530746,809.262609787,266.241624281,116.64881011,147.256504525,666.394759902,35.6883797615,266.134557132,126.899135635,587.27165522,389.249862717,1999.18427971,212.691518167,379.316691038,84.5861444032,255.697126548,222.822559002
14,731.621,37.8,4.176,1275.868,97.117,358.165,358.165,753.666,1372.985,1804.099,15970.426,1368.056,537.461,650.497,12039.676,0.0,45.936,11164.702,874.974,0.0152069310074,0.451274752996,141807.27573,0.0199546197149,0.0394082838153,0.0801207542532,0.117541501315,0.0492243444901,0.947861959137,670.689512184,78.3468978327,296.892849828,83.5523834011,1415.71736194,131.712081989,307.072547977,369.454245691,1.91899713392,0.0,542.66971818,74.6815604751,696.756268309,209.51351087,1433.56419494,1433.56419494,223.224787112,471.905787314,523.401740677,804.50018626,286.712838987,199.814340326,210.075654587,770.859367002,33.8631311311,286.712838987,97.6625435108,791.196307591,512.872998975,2312.578101,199.173023178,565.497486644,162.779313544,301.084511887,283.04424513
15,734.06,0.0,3.676,1257.736,207.771,244.607,244.607,672.09,1465.507,1397.464,14361.887,1470.001,385.008,595.585,10826.826,12.609,40.436,9809.203,1017.623,0.040921766264,0.411122737841,210467.939829,0.0,0.0208141723477,0.0897394322311,0.088094281963,0.0521641683135,1.0,544.625627797,61.6582141162,245.270456647,89.678524631,976.775322187,102.505022228,255.514021496,274.40221545,1.75513931071,0.0,320.427442469,43.5989413174,595.531879742,123.984321178,1184.00435997,1184.00435997,170.830920705,325.591774062,300.318938231,681.840064773,236.800871994,107.004532923,143.691208593,594.798858334,35.9256549279,224.79653607,86.5783884465,669.278596844,302.088943222,1784.396575,199.893184616,560.726941448,160.331789031,275.453054229,275.453054229
16,2568.0,543.0,1.0,42.0,22.0,12.0,12.0,3102.0,64.0,186.0,4200.0,819.0,134.0,246.0,848.0,0.0,11.0,606.0,242.0,0.0135802469136,0.877578176979,156442.0,0.0884353741497,0.0256648113791,0.124833997344,0.0365941162401,0.0931677018634,0.408163265306,1098.0,169.516960803,178.700867373,44.1021541424,150.0,34.3074335968,104.0,155.890987552,1.0,0.0,72.8354309385,28.1602556807,262.941058034,73.6817480792,645.0,645.0,365.0,50.0,84.8645980371,302.0,129.0,67.0,90.6090503206,199.0,16.9705627485,129.0,70.0,299.0,90.0,597.0,81.1171991627,170.0,69.3541635376,57.740800133,43.4281015012
17,12393.22,2283.213,6.07,3215.833,1548.556,62.993,62.993,14285.733,4764.389,930.42,22226.932,4239.118,900.655,1367.826,2246.39,238.132,66.77,1902.034,344.356,0.21321792852,0.476774506124,71939.5669861,0.220044675501,0.173042624029,0.263895483907,0.144034593253,0.115460079948,0.756139462548,2430.8968863,316.402844096,466.563077165,223.061648851,2510.42511583,308.920640249,236.086879813,305.457445503,2.32759403677,0.0,300.688044533,166.813792625,759.466707023,395.04935076,2404.89068157,2404.89068157,795.492010437,836.808371945,357.124820029,999.023801719,480.978136315,207.327102765,247.655555304,284.017580164,115.033885112,443.742271509,228.845511166,985.376534004,621.429036493,852.052740491,111.044622571,674.128424608,215.094461598,231.636873192,209.049260401
18,18267.951,4168.582,10.267,6723.27,2360.765,339.563,339.563,21708.063,9084.035,1836.299,38121.575,7536.4,1622.862,2648.915,5493.178,526.274,112.937,4825.688,667.49,0.246490919,0.549928137563,75074.1497911,0.259679717075,0.158907724934,0.383860232206,0.156785362308,0.137234914727,0.715864804834,3843.1957827,468.013255717,645.337775517,393.48244839,3341.94354281,382.785285946,314.187577406,462.339670357,3.13401483723,0.0,443.998465395,276.486185528,1027.77895117,474.191558823,3711.93112776,3711.93112776,1191.43219621,1113.98118094,349.87838573,1487.72761217,742.386225552,327.209169804,407.567283191,537.353695292,217.444705645,692.397168892,534.917699914,1476.59919928,966.67012829,1612.06108588,156.324116735,882.211353793,367.379583543,357.79155934,295.729046724
19,7826.125,1864.248,3.999,1152.259,662.847,35.292,35.292,9529.079,1815.106,431.836,13095.633,2632.642,480.278,900.77,1319.612,115.176,43.989,1249.357,70.255,0.161973605565,0.578403603767,71312.3787302,0.0543131983859,0.119849289692,0.3322832492,0.141015206331,0.155643027169,0.809711671409,2032.25849927,303.311837839,341.652595177,130.89125122,1267.03805349,150.732845465,166.832368529,242.035326017,1.77285391389,0.0,214.642336381,60.9240275753,491.881623974,187.766890857,2117.80551655,2117.80551655,709.355067244,422.346017831,161.434483891,721.423693576,423.56110331,136.065410704,212.657078027,202.956424872,59.4660147816,423.916045257,269.541522957,698.57708152,331.245477815,608.869274617,64.3416133152,416.791150869,180.663290593,150.564566492,137.111088808
20,8426.785,1594.612,3.56,890.889,575.181,-29.025,-29.025,9896.063,1466.07,216.521,13402.985,2189.611,328.259,733.45,1824.331,85.062,39.16,1775.488,48.843,0.185255068721,0.631311671024,69173.5696791,0.0901559781622,0.124800942115,0.436427524455,0.146459381563,0.151252702512,0.802017971672,1879.56971426,257.346080881,307.869706693,137.204856667,1375.99568557,174.606105641,150.083919622,267.606145107,1.75559277738,0.0,300.68048435,98.703624361,533.953500266,232.13957699,1852.88937611,1852.88937611,625.663368508,458.665228523,83.3133610413,701.71512439,370.577875222,127.876791033,222.48080548,276.173512664,61.7447045584,330.243339774,279.320096701,663.88021456,351.491920836,828.520537991,65.1928932707,401.442657317,233.389014904,201.955771173,182.086001573
